"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"206",2.37162363408061,"BUB1B",1.10894326316533e-30,2.86759819916953,"BUB1B",6.21533065403133e-24,-0.5515628461265
"208",-4.10249052868947,"DCN",1.01229184817513e-30,-3.22733503464815,"DCN",9.85510768726769e-12,-0.759718904641657
"209",-2.76919853696233,"AC115099.1",1.15775089738124e-30,-2.71292705264667,"AC115099.1",8.4988718956679e-16,0.0447307290049431
"211",-3.45847818173135,"CYP2B6",1.31933758574512e-30,-3.54972847799692,"CYP2B6",3.23267530826234e-18,0.215733300902829
"213",2.0529631899755,"AURKB",1.55494610908787e-30,2.34127951087535,"AURKB",8.03397681168153e-22,-0.329136009399817
"217",-3.46924921823094,"MT1F",1.37484745763255e-30,-3.15669087251681,"MT1F",1.06341399734626e-12,-0.199104043603296
"220",-3.94511488434984,"BEX1",1.87460389014207e-30,-2.96842603726866,"BEX1",2.56894647939231e-10,-0.868517288492055
"224",2.06235127110277,"PTTG1",1.99247331487632e-30,2.43467933929186,"PTTG1",5.69397851333184e-23,-0.415768571871274
"227",-3.57493132820132,"KCTD9P4",2.55458309718619e-30,-3.26349630770553,"KCTD9P4",5.35374508885699e-14,-0.194983739580695
"238",2.86720033024194,"APLN",5.02387301430824e-30,2.28604116777365,"APLN",9.47764457736726e-11,0.541889471336583
"240",-4.12711723599933,"MFAP4",6.15841332649122e-30,-3.48172863748595,"MFAP4",6.97660083548678e-14,-0.522813681047381
"242",2.19865622599998,"KIF2C",9.05765509603799e-30,2.89906678979209,"KIF2C",4.59944005042798e-27,-0.756881858872273
"243",-3.92512131757916,"OXT",1.04757122332703e-29,-2.54015224135951,"OXT",6.09541132263347e-08,-1.28881495369539
"245",1.66317552294191,"CDCA3",1.21580114390811e-29,2.02008517387953,"CDCA3",1.83446832011751e-23,-0.388716571329628
"248",-3.17584495804925,"KRT17P4",1.67804165284602e-29,-3.2139196673687,"KRT17P4",1.85513871734118e-15,0.153134861215564
"250",-2.72479566625262,"TMEM82",2.172187608325e-29,-2.34992792931234,"TMEM82",1.21194695672291e-12,-0.284051341192317
"254",-4.31341125822181,"MUC3A",2.45983172484672e-29,-3.8937363823394,"MUC3A",6.58701690527309e-15,-0.285538950530101
"260",-3.80545559774363,"CD5L",5.00450760097195e-29,-3.42921719085721,"CD5L",4.33402289941664e-11,-0.255136969606607
"261",2.67792339435654,"HIST1H3H",6.34590422770364e-29,2.28873121413438,"HIST1H3H",4.80272861071894e-12,0.34984700592884
